,姓名,成績,速度
0,林志成,0.1746015344408133,0.1782647128532067
1,林志成,0.16754692698865922,0.1782647128532067
2,林志成,0.18059795077514426,0.1734575745290753
3,林志成,0.16931057885169773,0.1782647128532067
4,林志成,0.1851834456190444,0.1782647128532067
5,林志成,0.17812883816689035,0.1782647128532067
6,林志成,0.18059795077514426,0.1782647128532067
7,林志成,0.17812883816689035,0.1782647128532067
8,林志成,0.18095068114775195,0.1782647128532067
9,林志成,0.16754692698865922,0.1782647128532067
10,林志成,0.17989249002992885,0.1782647128532067
11,林志成,0.17107423071473626,0.1782647128532067
12,林志成,0.1763651863038518,0.1782647128532067
13,林志成,0.16754692698865922,0.1782647128532067
14,林志成,0.17812883816689035,0.1782647128532067
15,林志成,0.18976894046294457,0.1354010627963682
16,林志成,0.17812883816689035,0.1782647128532067
17,林志成,0.1763651863038518,0.1958908867083552
18,林志成,0.1851834456190444,0.1782647128532067
19,林志成,0.16931057885169773,0.17946649743423956
20,林志成,0.17989249002992885,0.1734575745290753
21,林志成,0.16578327512562072,0.1734575745290753
22,林志成,0.17989249002992885,0.17946649743423956
23,林志成,0.1746015344408133,0.16905103106528813
24,江育安,0.14285580090611996,0.14541593430497535
25,江育安,0.15343771208435106,0.1414099857015325
26,江育安,0.13051023786485036,0.15583140067392676
27,江育安,0.15167406022131255,0.14261177028256536
28,江育安,0.15167406022131255,0.14261177028256536
29,江育安,0.14814675649523554,0.14501533944463108
30,江育安,0.14814675649523554,0.14501533944463108
31,江育安,0.14109214904308146,0.14541593430497535
32,江育安,0.14109214904308146,0.14221117542222106
33,江育安,0.14109214904308146,0.14541593430497535
34,江育安,0.14638310463219703,0.1438135548635982
35,江育安,0.14109214904308146,0.14221117542222106
