,姓名,成績,速度
0,江育安,4.05,3.63
1,江育安,4.35,3.53
2,江育安,3.7,3.89
3,江育安,4.3,3.56
4,江育安,4.3,3.56
5,江育安,4.2,3.62
6,江育安,4.2,3.62
7,江育安,4.0,3.63
8,江育安,4.0,3.55
9,江育安,4.0,3.63
10,江育安,4.15,3.59
11,江育安,4.0,3.55
